County,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,EducationRatio,PovertyUnemploymentRatio,PopulationDensityProxy,EconomicPressure,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap,VeryHighPoverty,VeryLowEducation,EconomicDistress,VulnerabilityScore,WeightedVulnerabilityScore,VulnerabilityScoreNorm,WeightedVulnerabilityScoreNorm,RiskCategory,BachelorsDegreePct_Scaled,HighSchoolGradPct_Scaled,PovertyRate_Scaled,UnemploymentRate_Scaled,Population_Scaled,EducationGap_Scaled,EducationRatio_Scaled,PovertyUnemploymentRatio_Scaled,PopulationDensityProxy_Scaled,EconomicPressure_Scaled
Marion,0.088152186,0.206390142,17.4,4.1,17514,1,0.118237957,0.407376162,4.233576642,9.770812936,10.75,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.20699324,0.219574638,0.310679612,0.428571429,0.032559539,0.19418035,0.42650922,0.237876678,0.297982444,0.335311573
Miller,0.03783389,0.095315599,21.5,3.6,42415,0,0.057481708,0.359242988,5.95567867,10.65528093,12.55,1,1,0,1,0,0,1,0,3,4,1,0.714285714,High Risk,0.074836596,0.09769506,0.443365696,0.30952381,0.095541369,0.096917264,0.349319648,0.64873163,0.496456338,0.442136499
Mississippi,0.036671416,0.109834683,24.9,4.9,38663,0,0.073163267,0.306016718,5.071283096,10.56266421,14.9,1,1,0,1,0,0,1,0,3,4,1,0.714285714,High Risk,0.071783459,0.113626522,0.553398058,0.619047619,0.086051476,0.12202146,0.263962446,0.437734665,0.475673223,0.581602374
Monroe,0.240144471,0.624375624,26.3,3.9,6512,0,0.384231153,0.378552488,6.726342711,8.781555459,15.1,1,1,0,0,0,0,1,1,2,3.5,0.5,0.571428571,High Risk,0.606187814,0.67822063,0.598705502,0.380952381,0.0047323,0.620001891,0.380285651,0.8325948,0.075993876,0.59347181
Montgomery,0.195429099,0.428660177,18.8,4.9,8620,0,0.233231078,0.445513656,3.82892057,9.061956366,11.85,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.488746761,0.463466507,0.355987055,0.619047619,0.010064042,0.378269825,0.487669051,0.141334807,0.13891561,0.400593472
Nevada,0.143722113,0.600819963,23.2,3.7,8120,0,0.45709785,0.235293738,6.253369272,9.002208578,13.45,1,1,0,0,0,0,1,0,2,3.5,0.5,0.571428571,High Risk,0.352942841,0.652373537,0.498381877,0.333333333,0.008799397,0.736652277,0.150546352,0.719753936,0.125508256,0.495548961
Newton,0.201568626,0.544100009,18.8,3.4,7071,0,0.342531383,0.363776615,5.513196481,8.863898604,11.1,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.504871698,0.590136017,0.355987055,0.261904762,0.006146173,0.553245821,0.356590074,0.543165295,0.094471611,0.356083086
Ouachita,0.069264542,0.193934856,18.8,3.9,21793,0,0.124670315,0.339640524,4.808184143,9.989389982,11.35,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.157386479,0.205907735,0.355987055,0.380952381,0.043382368,0.204477744,0.317883827,0.374965151,0.347030954,0.370919881
Perry,0.168222745,0.434123213,14.1,3.6,10184,0,0.265900468,0.378774944,3.905817175,9.228671329,8.85,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.41729163,0.469460973,0.203883495,0.30952381,0.01401985,0.430569397,0.380642396,0.159680614,0.176326311,0.222551929
Phillips,0.097133939,0.224574179,34.2,6.5,14961,0,0.12744024,0.414086236,5.253456221,9.613268932,20.35,1,1,1,0,0,1,1,1,3,5,1,1,Very High Risk,0.230583037,0.239527569,0.854368932,1,0.026102264,0.208912045,0.437269942,0.48119709,0.262629699,0.90504451
Pike,0.191614475,0.361124902,18.2,3.5,10208,0,0.169510426,0.516307245,5.185185185,9.231024963,10.85,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.478727983,0.389361581,0.336569579,0.285714286,0.014080553,0.276261104,0.601198379,0.464909151,0.176854465,0.341246291
Poinsett,0.053243485,0.205260425,19.1,3.3,22397,0,0.152016939,0.247344514,5.770392749,10.01672695,11.2,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.115308562,0.218335024,0.365695793,0.238095238,0.044910058,0.248256239,0.169871781,0.604526561,0.353165347,0.362017804
Polk,0.088505451,0.184342041,18.8,3.6,19436,0,0.09583659,0.455410733,5.207756233,9.874933745,11.2,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.207921062,0.195381756,0.355987055,0.30952381,0.037420833,0.158318589,0.503540666,0.470294097,0.321347069,0.362017804
Pope,0.03814058,0.054189169,13.5,3.9,64593,0,0.016048589,0.594190273,3.452685422,11.07587681,8.7,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.075642088,0.052567961,0.184466019,0.380952381,0.151635944,0.030588069,0.726096805,0.051573532,0.590837709,0.213649852
Prairie,0.207889514,0.546470418,15.4,3.1,8036,0,0.338580904,0.373585922,4.951768489,8.991811158,9.25,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.521472963,0.592737013,0.245954693,0.19047619,0.008586937,0.546921602,0.372320933,0.409221158,0.123175083,0.246290801
Pulaski,0.009340053,0.006281534,15.7,3.2,400009,0,-0.003058519,0.573659279,4.890965732,12.89924483,9.45,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0,0,0.25566343,0.214285714,1,0,0.693171931,0.394714983,1,0.258160237
Randolph,0.076580855,0.214509183,18.5,3.5,18907,0,0.137928329,0.34110344,5.270655271,9.847340392,11,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.176602142,0.228483478,0.346278317,0.285714286,0.036082839,0.225702151,0.320229856,0.485300398,0.315155143,0.350148368
Saline,0.021994848,0.02527175,9.3,2.7,129574,0,0.003276903,0.623582539,3.431734317,11.77201514,6,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.033236722,0.020837534,0.048543689,0.095238095,0.315991684,0.010142211,0.773232206,0.046575068,0.747050582,0.053412463
Scott,0.109918033,0.438055692,19.5,3,9851,0,0.328137659,0.245322257,6.478405316,9.195429759,11.25,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.264159354,0.473775993,0.378640777,0.166666667,0.013177597,0.530203285,0.166628753,0.773442493,0.16886693,0.364985163
Searcy,0.175360111,0.467403857,20.2,4.3,7806,1,0.292043747,0.367320263,4.686774942,8.962776046,12.25,1,1,0,0,0,0,1,0,2,3.5,0.5,0.571428571,High Risk,0.436037302,0.505979069,0.401294498,0.476190476,0.0080052,0.472421486,0.362272905,0.345999636,0.116659628,0.424332344
Sebastian,0.018887239,0.023431827,12.8,3.4,129098,0,0.004544588,0.564947861,3.753665689,11.76833483,8.1,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.025074858,0.018818628,0.161812298,0.261904762,0.314787742,0.012171615,0.67920172,0.123380679,0.746224723,0.178041543
Sevier,0.069916583,0.210083003,18.7,3.8,15632,0,0.14016642,0.317682793,4.908136483,9.657139344,11.25,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.15909901,0.223626731,0.352750809,0.357142857,0.027799417,0.229285053,0.282670943,0.398811539,0.272474183,0.364985163
Sharp,0.066387334,0.225743124,19.7,3.9,17968,1,0.15935579,0.281608782,5.038363171,9.79640333,11.8,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.149829743,0.240810227,0.385113269,0.380952381,0.033707837,0.260004813,0.224820249,0.429880709,0.303724908,0.397626113
St. Francis,0.0583839,0.19990109,34.3,5,22101,0,0.141517191,0.278149577,6.846307385,10.00342338,19.65,1,1,0,1,0,1,1,1,3,4,1,0.714285714,High Risk,0.128809415,0.212454349,0.857605178,0.642857143,0.044161389,0.231447467,0.219272837,0.861215683,0.350180038,0.863501484
Stone,0.121402669,0.294699366,17.7,4.1,12671,1,0.173296697,0.398434268,4.306569343,9.447150114,10.9,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.294322754,0.316474347,0.32038835,0.428571429,0.020310192,0.282322446,0.412169401,0.255291101,0.225352772,0.34421365
Union,0.050590506,0.107201261,19,4.6,37397,0,0.056610756,0.43165496,4.121475054,10.52937251,11.8,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.108340741,0.110736928,0.362459547,0.547619048,0.082849396,0.095522979,0.465444322,0.211131751,0.468202591,0.397626113
Van Buren,0.097761238,0.273220775,16.5,4,16142,1,0.175459536,0.345176792,4.114713217,9.689241798,10.25,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.232230585,0.292906376,0.281553398,0.404761905,0.029089355,0.285784878,0.326762156,0.209518528,0.279677948,0.305637982
Washington,0.013234342,0.0108222,13.5,2.3,261549,0,-0.002412141,0.635588053,5.844155844,12.47438075,7.9,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.010228012,0.00498237,0.184466019,0,0.649794622,0.001034769,0.79248505,0.622124783,0.904660849,0.166172107
White,0.02524215,0.051762541,15.7,3.5,78452,1,0.026520391,0.408696747,4.472934473,11.270255,9.6,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.041765479,0.049905277,0.25566343,0.285714286,0.186689363,0.047352103,0.428626997,0.294982092,0.634456016,0.267062315
Woodruff,0.266446189,0.77396274,24.4,3.6,5964,1,0.507516551,0.339870986,6.75900277,8.693664335,14,1,1,0,0,0,0,1,0,2,3.5,0.5,0.571428571,High Risk,0.675266998,0.842359179,0.537216828,0.30952381,0.00334625,0.817366254,0.31825341,0.840386758,0.05627118,0.528189911
Yell,0.071432354,0.198125067,16.5,3.7,20044,0,0.126692713,0.343218407,4.447439353,9.905735025,10.1,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.16308005,0.210505558,0.281553398,0.333333333,0.038958641,0.207715348,0.323621558,0.288899528,0.328258851,0.296735905
