FIPStxt,state,county,attribute,value
5007,AR,Benton ,NET_MIG_2020,1988
5007,AR,Benton ,NET_MIG_2021,6724
5007,AR,Benton ,NET_MIG_2022,6974
5007,AR,Benton ,NET_MIG_2023,6472
5007,AR,Benton ,RESIDUAL_2020,-135
5007,AR,Benton ,RESIDUAL_2021,-156
5007,AR,Benton ,RESIDUAL_2022,220
5007,AR,Benton ,RESIDUAL_2023,22
5007,AR,Benton ,GQ_ESTIMATES_BASE_2020,3026
5007,AR,Benton ,GQ_ESTIMATES_2020,3025
5007,AR,Benton ,GQ_ESTIMATES_2021,3043
5007,AR,Benton ,GQ_ESTIMATES_2022,3029
5007,AR,Benton ,GQ_ESTIMATES_2023,3030
5007,AR,Benton ,R_BIRTH_2021,12.3
5007,AR,Benton ,R_BIRTH_2022,13
5007,AR,Benton ,R_BIRTH_2023,12.7
5007,AR,Benton ,R_DEATH_2021,8.4
5007,AR,Benton ,R_DEATH_2022,8.5
5007,AR,Benton ,R_DEATH_2023,7.2
5007,AR,Benton ,R_NATURAL_CHG_2021,3.8
5007,AR,Benton ,R_NATURAL_CHG_2022,4.5
5007,AR,Benton ,R_NATURAL_CHG_2023,5.5
5007,AR,Benton ,R_INTERNATIONAL_MIG_2021,1.1
5007,AR,Benton ,R_INTERNATIONAL_MIG_2022,3
5007,AR,Benton ,R_INTERNATIONAL_MIG_2023,3.6
5007,AR,Benton ,R_DOMESTIC_MIG_2021,22
5007,AR,Benton ,R_DOMESTIC_MIG_2022,20.4
5007,AR,Benton ,R_DOMESTIC_MIG_2023,17.5
5007,AR,Benton ,R_NET_MIG_2021,23.1
5007,AR,Benton ,R_NET_MIG_2022,23.4
5007,AR,Benton ,R_NET_MIG_2023,21.1
5009,AR,Boone ,Rural_Urban_Continuum_Code_2013,7
5009,AR,Boone ,Rural_Urban_Continuum_Code_2023,7
5009,AR,Boone ,Urban_Influence_2013,8
5009,AR,Boone ,Economic_typology_2015,0
5009,AR,Boone ,CENSUS_2020_POP,37373
5009,AR,Boone ,ESTIMATES_BASE_2020,37367
5009,AR,Boone ,POP_ESTIMATE_2020,37381
5009,AR,Boone ,POP_ESTIMATE_2021,37894
5009,AR,Boone ,POP_ESTIMATE_2022,38280
5009,AR,Boone ,POP_ESTIMATE_2023,38530
5009,AR,Boone ,N_POP_CHG_2020,14
5009,AR,Boone ,N_POP_CHG_2021,513
5009,AR,Boone ,N_POP_CHG_2022,386
5009,AR,Boone ,N_POP_CHG_2023,250
5009,AR,Boone ,BIRTHS_2020,91
5009,AR,Boone ,BIRTHS_2021,381
5009,AR,Boone ,BIRTHS_2022,406
5009,AR,Boone ,BIRTHS_2023,406
5009,AR,Boone ,DEATHS_2020,121
5009,AR,Boone ,DEATHS_2021,566
5009,AR,Boone ,DEATHS_2022,583
5009,AR,Boone ,DEATHS_2023,526
5009,AR,Boone ,NATURAL_CHG_2020,-30
5009,AR,Boone ,NATURAL_CHG_2021,-185
5009,AR,Boone ,NATURAL_CHG_2022,-177
5009,AR,Boone ,NATURAL_CHG_2023,-120
5009,AR,Boone ,INTERNATIONAL_MIG_2020,0
5009,AR,Boone ,INTERNATIONAL_MIG_2021,4
5009,AR,Boone ,INTERNATIONAL_MIG_2022,-4
5009,AR,Boone ,INTERNATIONAL_MIG_2023,-2
5009,AR,Boone ,DOMESTIC_MIG_2020,37
5009,AR,Boone ,DOMESTIC_MIG_2021,706
5009,AR,Boone ,DOMESTIC_MIG_2022,568
5009,AR,Boone ,DOMESTIC_MIG_2023,376
5009,AR,Boone ,NET_MIG_2020,37
5009,AR,Boone ,NET_MIG_2021,710
5009,AR,Boone ,NET_MIG_2022,564
5009,AR,Boone ,NET_MIG_2023,374
5009,AR,Boone ,RESIDUAL_2020,7
5009,AR,Boone ,RESIDUAL_2021,-12
5009,AR,Boone ,RESIDUAL_2022,-1
5009,AR,Boone ,RESIDUAL_2023,-4
5009,AR,Boone ,GQ_ESTIMATES_BASE_2020,445
5009,AR,Boone ,GQ_ESTIMATES_2020,445
5009,AR,Boone ,GQ_ESTIMATES_2021,445
5009,AR,Boone ,GQ_ESTIMATES_2022,445
5009,AR,Boone ,GQ_ESTIMATES_2023,445
5009,AR,Boone ,R_BIRTH_2021,10.1
5009,AR,Boone ,R_BIRTH_2022,10.7
5009,AR,Boone ,R_BIRTH_2023,10.6
5009,AR,Boone ,R_DEATH_2021,15
5009,AR,Boone ,R_DEATH_2022,15.3
5009,AR,Boone ,R_DEATH_2023,13.7
5009,AR,Boone ,R_NATURAL_CHG_2021,-4.9
5009,AR,Boone ,R_NATURAL_CHG_2022,-4.6
5009,AR,Boone ,R_NATURAL_CHG_2023,-3.1
5009,AR,Boone ,R_INTERNATIONAL_MIG_2021,0.1
5009,AR,Boone ,R_INTERNATIONAL_MIG_2022,-0.1
5009,AR,Boone ,R_INTERNATIONAL_MIG_2023,-0.1
5009,AR,Boone ,R_DOMESTIC_MIG_2021,18.8
5009,AR,Boone ,R_DOMESTIC_MIG_2022,14.9
5009,AR,Boone ,R_DOMESTIC_MIG_2023,9.8
5009,AR,Boone ,R_NET_MIG_2021,18.9
5009,AR,Boone ,R_NET_MIG_2022,14.8
5009,AR,Boone ,R_NET_MIG_2023,9.7
5011,AR,Bradley ,Rural_Urban_Continuum_Code_2013,7
5011,AR,Bradley ,Rural_Urban_Continuum_Code_2023,7
5011,AR,Bradley ,Urban_Influence_2013,9
5011,AR,Bradley ,Economic_typology_2015,0
5011,AR,Bradley ,CENSUS_2020_POP,10545
5011,AR,Bradley ,ESTIMATES_BASE_2020,10545
5011,AR,Bradley ,POP_ESTIMATE_2020,10495
5011,AR,Bradley ,POP_ESTIMATE_2021,10343
5011,AR,Bradley ,POP_ESTIMATE_2022,10168
5011,AR,Bradley ,POP_ESTIMATE_2023,10104
5011,AR,Bradley ,N_POP_CHG_2020,-50
5011,AR,Bradley ,N_POP_CHG_2021,-152
5011,AR,Bradley ,N_POP_CHG_2022,-175
5011,AR,Bradley ,N_POP_CHG_2023,-64
5011,AR,Bradley ,BIRTHS_2020,28
5011,AR,Bradley ,BIRTHS_2021,110
5011,AR,Bradley ,BIRTHS_2022,118
5011,AR,Bradley ,BIRTHS_2023,118
5011,AR,Bradley ,DEATHS_2020,44
5011,AR,Bradley ,DEATHS_2021,174
5011,AR,Bradley ,DEATHS_2022,163
5011,AR,Bradley ,DEATHS_2023,154
5011,AR,Bradley ,NATURAL_CHG_2020,-16
5011,AR,Bradley ,NATURAL_CHG_2021,-64
5011,AR,Bradley ,NATURAL_CHG_2022,-45
5011,AR,Bradley ,NATURAL_CHG_2023,-36
5011,AR,Bradley ,INTERNATIONAL_MIG_2020,0
5011,AR,Bradley ,INTERNATIONAL_MIG_2021,-1
5011,AR,Bradley ,INTERNATIONAL_MIG_2022,-4
5011,AR,Bradley ,INTERNATIONAL_MIG_2023,-5
5011,AR,Bradley ,DOMESTIC_MIG_2020,-33
5011,AR,Bradley ,DOMESTIC_MIG_2021,-87
5011,AR,Bradley ,DOMESTIC_MIG_2022,-127
5011,AR,Bradley ,DOMESTIC_MIG_2023,-24
5011,AR,Bradley ,NET_MIG_2020,-33
5011,AR,Bradley ,NET_MIG_2021,-88
5011,AR,Bradley ,NET_MIG_2022,-131
5011,AR,Bradley ,NET_MIG_2023,-29
5011,AR,Bradley ,RESIDUAL_2020,-1
5011,AR,Bradley ,RESIDUAL_2021,0
5011,AR,Bradley ,RESIDUAL_2022,1
5011,AR,Bradley ,RESIDUAL_2023,1
5011,AR,Bradley ,GQ_ESTIMATES_BASE_2020,218
5011,AR,Bradley ,GQ_ESTIMATES_2020,218
5011,AR,Bradley ,GQ_ESTIMATES_2021,216
5011,AR,Bradley ,GQ_ESTIMATES_2022,207
5011,AR,Bradley ,GQ_ESTIMATES_2023,218
5011,AR,Bradley ,R_BIRTH_2021,10.6
5011,AR,Bradley ,R_BIRTH_2022,11.5
5011,AR,Bradley ,R_BIRTH_2023,11.6
5011,AR,Bradley ,R_DEATH_2021,16.7
5011,AR,Bradley ,R_DEATH_2022,15.9
5011,AR,Bradley ,R_DEATH_2023,15.2
5011,AR,Bradley ,R_NATURAL_CHG_2021,-6.1
5011,AR,Bradley ,R_NATURAL_CHG_2022,-4.4
5011,AR,Bradley ,R_NATURAL_CHG_2023,-3.6
5011,AR,Bradley ,R_INTERNATIONAL_MIG_2021,-0.1
5011,AR,Bradley ,R_INTERNATIONAL_MIG_2022,-0.4
5011,AR,Bradley ,R_INTERNATIONAL_MIG_2023,-0.5
5011,AR,Bradley ,R_DOMESTIC_MIG_2021,-8.4
