county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,Population_Norm,EducationGap_Norm,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap
sebastian,0.01888723926009698,0.023431827177802907,12.8,3.4,129098.0,0,0.004544587917705928,0.025074857511838432,0.018818627673712583,0.1618122977346278,0.26190476190476186,0.31478774205297344,0.012171614684825714,0,1,0,1,0
sevier,0.06991658316274309,0.21008300307062436,18.7,3.8,15632.0,0,0.14016641990788126,0.1590990096211557,0.2236267305300268,0.3527508090614886,0.3571428571428571,0.027799417251775566,0.22928505266037078,0,1,0,0,0
sharp,0.06638733414959928,0.22574312438780053,19.7,3.9,17968.0,1,0.15935579023820123,0.14982974275635647,0.24081022654674775,0.3851132686084142,0.38095238095238093,0.033707836749559905,0.2600048129221515,0,1,0,0,0
st. francis,0.058383899506809646,0.19990109044839602,34.3,5.0,22101.0,0,0.14151719094158638,0.12880941484446662,0.21245434869191407,0.8576051779935273,0.6428571428571429,0.04416138888326825,0.2314474666223555,1,1,0,1,0
stone,0.12140266885013022,0.29469936603267305,17.7,4.1,12671.0,1,0.1732966971825428,0.29432275446969375,0.31647434687084086,0.3203883495145631,0.4285714285714285,0.020310192023633683,0.2823224456422464,0,1,0,0,0
union,0.05059050578923443,0.10720126135786293,19.0,4.6,37397.0,0,0.0566107555686285,0.10834074123100997,0.11073692826677527,0.36245954692556626,0.5476190476190476,0.08284939600574655,0.09552297851039185,0,1,0,1,0
van buren,0.09776123844628917,0.27322077462520133,16.5,4.0,16142.0,1,0.17545953617891216,0.23223058509806427,0.2929063755620708,0.2815533980582524,0.40476190476190477,0.02908935472774732,0.2857848779320811,0,1,0,0,0
washington,0.013234341813579865,0.010822200413689214,13.5,2.3,261549.0,0,-0.0024121413998906514,0.010228011965954492,0.00498237015788916,0.1844660194174757,0.0,0.649794621719512,0.0010347689643072319,0,1,0,1,0
white,0.025242149505430075,0.05176254085300566,15.7,3.5,78452.0,1,0.026520391347575587,0.04176547887249081,0.049905277370018465,0.25566343042071193,0.2857142857142857,0.18668936282147267,0.047352102700054806,0,1,0,1,0
woodruff,0.26644618913480883,0.7739627399396378,24.4,3.6,5964.0,1,0.5075165508048289,0.6752669982795106,0.8423591794141161,0.5372168284789642,0.30952380952380953,0.003346249570020842,0.8173662538166899,1,1,0,0,0
yell,0.07143235387148274,0.19812506680303332,16.5,3.7,20044.0,0,0.1266927129315506,0.16308005010677395,0.2105055582184827,0.2815533980582524,0.33333333333333337,0.038958641063515514,0.2077153481299221,0,1,0,1,0
