county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
"autauga county, al",,,,,,,,,,,,,,,,,26656.0,26065.0,117.5,70148.0,591.0,2.2,
avery county,138.0,246.0,107.0,2049.0,27.0,19.0,-108.0,134.0,17541.0,7.9,14.0,6.1,1.5,-6.2,7.6,-7.0,,,,,,,
"avery county, nc",,,,,,,,,,,,,,,,,7681.0,7427.0,79.8,53894.0,254.0,3.3,
avoyelles parish,464.0,631.0,-400.0,2805.0,24.0,-546.0,-167.0,-376.0,38715.0,11.9,16.2,-10.3,0.6,-4.3,-9.6,-3.0,,,,,,,
"avoyelles parish, la",,,,,,,,,,,,,,,,,14361.0,13766.0,75.0,41587.0,595.0,4.1,
añasco municipio,,,,,,,,,25007.0,,,,,,,,,,,,,,
baca county,37.0,76.0,-20.0,51.0,6.0,-55.0,-39.0,-14.0,3435.0,10.7,21.9,-5.8,1.7,-11.3,-4.0,-2.0,,,,,,,
"baca county, co",,,,,,,,,,,,,,,,,2047.0,2011.0,52.9,47147.0,36.0,1.8,
bacon county,140.0,175.0,136.0,330.0,2.0,105.0,-35.0,138.0,11173.0,12.6,15.7,12.2,0.2,-3.1,12.4,2.0,,,,,,,
"bacon county, ga",,,,,,,,,,,,,,,,,4848.0,4700.0,63.3,46044.0,148.0,3.1,
bailey county,109.0,80.0,-102.0,116.0,71.0,0.0,29.0,-31.0,6803.0,16.0,11.8,-15.0,10.4,4.3,-4.6,2.0,,,,,,,
"bailey county, tx",,,,,,,,,,,,,,,,,2419.0,2316.0,73.0,52751.0,103.0,4.3,
baker county,356.0,364.0,-980.0,1529.0,12.0,-883.0,-8.0,-968.0,27786.0,12.6,12.9,-34.7,0.4,-0.3,-34.3,93.0,,,,,,,
"baker county, fl",,,,,,,,,,,,,,,,,12545.0,12186.0,97.2,67375.0,359.0,2.9,
"baker county, ga",,,,,,,,,,,,,,,,,1116.0,1070.0,68.9,50129.0,46.0,4.1,
"baker county, or",,,,,,,,,,,,,,,,,7368.0,7037.0,71.9,54382.0,331.0,4.5,
baldwin county,2511.0,3022.0,7036.0,3468.0,250.0,7092.0,-511.0,7286.0,246531.0,10.3,12.4,29.0,1.0,-2.1,30.0,317.0,,,,,,,
"baldwin county, al",,,,,,,,,,,,,,,,,102280.0,99930.0,120.1,71704.0,2350.0,2.3,
