county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
silver bow county,352.0,551.0,464.0,1017.0,158.0,445.0,-199.0,622.0,35947.0,9.9,15.4,13.0,4.4,-5.6,17.4,22.0,,,,,,,
"silver bow county, mt",,,,,,,,,,,,,,,,,17681.0,17156.0,86.7,58898.0,525.0,3.0,
simpson county,215.0,271.0,270.0,529.0,-8.0,214.0,-56.0,262.0,19948.0,10.8,13.7,13.6,-0.4,-2.8,13.2,8.0,,,,,,,
"simpson county, ky",,,,,,,,,,,,,,,,,8793.0,8486.0,98.8,58550.0,307.0,3.5,
"simpson county, ms",,,,,,,,,,,,,,,,,10553.0,10163.0,96.6,50994.0,390.0,3.7,
sioux county,540.0,278.0,-166.0,2434.0,86.0,168.0,262.0,-80.0,36127.0,15.0,7.7,-4.6,2.4,7.3,-2.2,-14.0,,,,,,,
"sioux county, ia",,,,,,,,,,,,,,,,,22783.0,22353.0,109.0,75994.0,430.0,1.9,
"sioux county, nd",,,,,,,,,,,,,,,,,1225.0,1195.0,59.7,43721.0,30.0,2.4,
"sioux county, ne",,,,,,,,,,,,,,,,,768.0,754.0,87.1,60806.0,14.0,1.8,
siskiyou county,370.0,638.0,-76.0,504.0,17.0,-353.0,-268.0,-59.0,43786.0,8.4,14.5,-1.7,0.4,-6.1,-1.3,-26.0,,,,,,,
"siskiyou county, ca",,,,,,,,,,,,,,,,,16531.0,15573.0,56.4,51593.0,958.0,5.8,
"sitka borough/city, ak",,,,,,,,,,,,,,,,,4509.0,4379.0,102.6,90345.0,130.0,2.9,
sitka city and borough,78.0,66.0,-66.0,331.0,32.0,-30.0,12.0,-34.0,8353.0,9.3,7.9,-7.9,3.8,1.4,-4.1,-8.0,,,,,,,
skagit county,1409.0,1525.0,185.0,1447.0,313.0,317.0,-116.0,498.0,131322.0,10.7,11.6,1.4,2.4,-0.9,3.8,-65.0,,,,,,,
"skagit county, wa",,,,,,,,,,,,,,,,,61005.0,57932.0,86.7,79118.0,3073.0,5.0,
skagway municipality,9.0,8.0,-63.0,29.0,4.0,-55.0,1.0,-59.0,1092.0,8.0,7.1,-56.3,3.6,0.9,-52.7,3.0,,,,,,,
"skagway municipality, ak",,,,,,,,,,,,,,,,,769.0,717.0,83.6,73603.0,52.0,6.8,
skamania county,96.0,108.0,242.0,454.0,7.0,246.0,-12.0,249.0,12455.0,7.8,8.8,19.6,0.6,-1.0,20.2,9.0,,,,,,,
"skamania county, wa",,,,,,,,,,,,,,,,,5514.0,5236.0,90.0,82132.0,278.0,5.0,
slope county,5.0,4.0,-16.0,0.0,0.0,-14.0,1.0,-16.0,682.0,7.3,5.8,-23.2,0.0,1.5,-23.2,1.0,,,,,,,
"slope county, nd",,,,,,,,,,,,,,,,,339.0,331.0,94.6,69249.0,8.0,2.4,
smith county,39.0,58.0,20.0,53.0,1.0,-1.0,-19.0,21.0,3572.0,10.9,16.2,5.6,0.3,-5.3,5.9,-3.0,,,,,,,
"smith county, ks",,,,,,,,,,,,,,,,,1960.0,1921.0,75.7,52101.0,39.0,2.0,
"smith county, ms",,,,,,,,,,,,,,,,,6589.0,6353.0,98.0,51746.0,236.0,3.6,
"smith county, tn",,,,,,,,,,,,,,,,,9780.0,9489.0,98.1,63960.0,291.0,3.0,
"smith county, tx",,,,,,,,,,,,,,,,,112585.0,108356.0,94.0,67978.0,4229.0,3.8,
smyth county,280.0,606.0,120.0,538.0,21.0,-200.0,-326.0,141.0,29408.0,9.5,20.5,4.1,0.7,-11.0,4.8,-15.0,,,,,,,
"smyth county, va",,,,,,,,,,,,,,,,,13571.0,13157.0,53.0,45484.0,414.0,3.1,
snohomish county,9821.0,6798.0,-2196.0,8363.0,4098.0,4355.0,3023.0,1902.0,840452.0,11.7,8.1,-2.6,4.9,3.6,2.3,-570.0,,,,,,,
"snohomish county, wa",,,,,,,,,,,,,,,,,449536.0,434437.0,111.2,101440.0,15099.0,3.4,
snyder county,420.0,446.0,-216.0,2360.0,20.0,-228.0,-26.0,-196.0,39506.0,10.6,11.3,-5.5,0.5,-0.7,-4.9,-6.0,,,,,,,
"snyder county, pa",,,,,,,,,,,,,,,,,19718.0,18932.0,86.9,62382.0,786.0,4.0,
socorro county,152.0,216.0,-110.0,849.0,1.0,-180.0,-64.0,-109.0,16111.0,9.4,13.3,-6.8,0.1,-4.0,-6.7,-7.0,,,,,,,
"socorro county, nm",,,,,,,,,,,,,,,,,6083.0,5817.0,70.7,42280.0,266.0,4.4,
solano county,4960.0,4007.0,-3754.0,9489.0,1101.0,-1768.0,953.0,-2653.0,448885.0,11.0,8.9,-8.3,2.4,2.1,-5.9,-68.0,,,,,,,
"solano county, ca",,,,,,,,,,,,,,,,,200869.0,192263.0,101.3,92711.0,8606.0,4.3,
somerset county,467.0,797.0,644.0,667.0,17.0,336.0,-330.0,661.0,51118.0,9.2,15.6,12.6,0.3,-6.5,13.0,5.0,,,,,,,
"somerset county, md",,,,,,,,,,,,,,,,,8969.0,8573.0,56.4,53590.0,396.0,4.4,
"somerset county, me",,,,,,,,,,,,,,,,,22054.0,21181.0,79.3,55093.0,873.0,4.0,
"somerset county, nj",,,,,,,,,,,,,,,,,179197.0,173376.0,139.9,134735.0,5821.0,3.2,
"somerset county, pa",,,,,,,,,,,,,,,,,32524.0,30883.0,70.4,50516.0,1641.0,5.0,
somervell county,102.0,122.0,313.0,127.0,17.0,320.0,-20.0,330.0,9797.0,10.6,12.7,32.5,1.8,-2.1,34.2,10.0,,,,,,,
"somervell county, tx",,,,,,,,,,,,,,,,,4570.0,4393.0,104.6,75568.0,177.0,3.9,
sonoma county,4543.0,4595.0,-2089.0,8255.0,579.0,-1850.0,-52.0,-1510.0,482669.0,9.4,9.5,-4.3,1.2,-0.1,-3.1,-288.0,,,,,,,
"sonoma county, ca",,,,,,,,,,,,,,,,,246535.0,238693.0,105.2,96312.0,7842.0,3.2,
south central connecticut planning region,5745.0,5829.0,-1976.0,22530.0,2235.0,-48.0,-84.0,259.0,568402.0,10.1,10.3,-3.5,3.9,-0.1,0.5,-223.0,,,,,,,
"south central connecticut planning region, ct",,,,,,,,,,,,,,,,,,,96.0,84615.0,,,
southampton county,109.0,261.0,38.0,1444.0,-1.0,-125.0,-152.0,37.0,17899.0,6.1,14.5,2.1,-0.1,-8.5,2.1,-10.0,,,,,,,
"southampton county, va",,,,,,,,,,,,,,,,,9036.0,8795.0,71.4,61246.0,241.0,2.7,
southeast fairbanks census area,102.0,62.0,-59.0,636.0,28.0,9.0,40.0,-31.0,7016.0,14.5,8.8,-8.4,4.0,5.7,-4.4,0.0,,,,,,,
"southeast fairbanks census area, ak",,,,,,,,,,,,,,,,,3214.0,3039.0,84.9,74732.0,175.0,5.4,
southeastern connecticut planning region,2686.0,3103.0,411.0,11266.0,598.0,437.0,-417.0,1009.0,279257.0,9.6,11.1,1.5,2.1,-1.5,3.6,-155.0,,,,,,,
"southeastern connecticut planning region, ct",,,,,,,,,,,,,,,,,,,90.9,80159.0,,,
spalding county,863.0,1071.0,1343.0,921.0,37.0,1243.0,-208.0,1380.0,69008.0,12.6,15.7,19.6,0.5,-3.0,20.2,71.0,,,,,,,
"spalding county, ga",,,,,,,,,,,,,,,,,29289.0,28282.0,75.7,55086.0,1007.0,3.4,
spartanburg county,3865.0,4311.0,9878.0,8169.0,725.0,10551.0,-446.0,10603.0,345948.0,11.3,12.7,29.0,2.1,-1.3,31.1,394.0,,,,,,,
"spartanburg county, sc",,,,,,,,,,,,,,,,,155135.0,150296.0,91.1,58535.0,4839.0,3.1,
spencer county,195.0,288.0,99.0,305.0,9.0,8.0,-93.0,108.0,19849.0,9.8,14.5,5.0,0.5,-4.7,5.4,-7.0,,,,,,,
"spencer county, in",,,,,,,,,,,,,,,,,10483.0,10201.0,105.5,70440.0,282.0,2.7,
"spencer county, ky",,,,,,,,,,,,,,,,,10539.0,10111.0,171.4,101552.0,428.0,4.1,
spink county,78.0,79.0,-34.0,450.0,2.0,-33.0,-1.0,-32.0,6228.0,12.5,12.7,-5.4,0.3,-0.2,-5.1,0.0,,,,,,,
"spink county, sd",,,,,,,,,,,,,,,,,3036.0,2964.0,87.1,61513.0,72.0,2.4,
spokane county,5878.0,5892.0,3654.0,16303.0,618.0,4230.0,-14.0,4272.0,549740.0,10.7,10.8,6.7,1.1,0.0,7.8,-28.0,,,,,,,
"spokane county, wa",,,,,,,,,,,,,,,,,261261.0,249353.0,75.7,69079.0,11908.0,4.6,
spotsylvania county,1578.0,1203.0,2145.0,322.0,317.0,2825.0,375.0,2462.0,146828.0,10.9,8.3,14.8,2.2,2.6,16.9,-12.0,,,,,,,
"spotsylvania county, va",,,,,,,,,,,,,,,,,69356.0,67378.0,112.2,96322.0,1978.0,2.9,
st. bernard parish,576.0,494.0,-9.0,224.0,46.0,95.0,82.0,37.0,44419.0,13.0,11.1,-0.2,1.0,1.8,0.8,-24.0,,,,,,,
"st. bernard parish, la",,,,,,,,,,,,,,,,,19866.0,19061.0,92.8,51485.0,805.0,4.1,
st. charles county,4218.0,3800.0,2435.0,5438.0,720.0,3333.0,418.0,3155.0,413798.0,10.2,9.2,5.9,1.7,1.0,7.7,-240.0,,,,,,,
"st. charles county, mo",,,,,,,,,,,,,,,,,227459.0,222602.0,152.7,98925.0,4857.0,2.1,
st. charles parish,575.0,506.0,-1546.0,585.0,6.0,-1412.0,69.0,-1540.0,51058.0,11.1,9.8,-29.9,0.1,1.3,-29.8,59.0,,,,,,,
"st. charles parish, la",,,,,,,,,,,,,,,,,24625.0,23808.0,135.6,75223.0,817.0,3.3,
st. clair county,1021.0,1294.0,1246.0,2029.0,15.0,1007.0,-273.0,1261.0,93881.0,10.9,13.9,13.3,0.2,-2.9,13.5,19.0,,,,,,,
"st. clair county, al",,,,,,,,,,,,,,,,,42036.0,41134.0,117.9,70361.0,902.0,2.1,
"st. clair county, il",,,,,,,,,,,,,,,,,122897.0,117355.0,87.5,67185.0,5542.0,4.5,
"st. clair county, mi",,,,,,,,,,,,,,,,,74805.0,71872.0,97.0,64894.0,2933.0,3.9,
"st. clair county, mo",,,,,,,,,,,,,,,,,3755.0,3642.0,69.7,45174.0,113.0,3.0,
st. croix county,1037.0,845.0,780.0,809.0,26.0,969.0,192.0,806.0,95967.0,10.9,8.8,8.2,0.3,2.0,8.4,-29.0,,,,,,,
"st. croix county, wi",,,,,,,,,,,,,,,,,49714.0,48189.0,137.4,97589.0,1525.0,3.1,
st. francis county,282.0,344.0,-285.0,3432.0,38.0,-313.0,-62.0,-247.0,22402.0,12.5,15.2,-12.6,1.7,-2.7,-10.9,-4.0,,,,,,,
"st. francis county, ar",,,,,,,,,,,,,,,,,7542.0,7186.0,68.6,38062.0,356.0,4.7,
st. francois county,665.0,1006.0,244.0,6187.0,39.0,-104.0,-341.0,283.0,66906.0,9.9,15.0,3.6,0.6,-5.1,4.2,-46.0,,,,,,,
"st. francois county, mo",,,,,,,,,,,,,,,,,25335.0,24479.0,75.0,48574.0,856.0,3.4,
st. helena parish,96.0,174.0,-64.0,108.0,32.0,-114.0,-78.0,-32.0,10789.0,8.9,16.0,-5.9,3.0,-7.2,-3.0,-4.0,,,,,,,
"st. helena parish, la",,,,,,,,,,,,,,,,,4258.0,4031.0,81.2,45024.0,227.0,5.3,
st. james parish,213.0,259.0,-376.0,141.0,7.0,-406.0,-46.0,-369.0,19388.0,10.9,13.2,-19.2,0.4,-2.3,-18.8,9.0,,,,,,,
"st. james parish, la",,,,,,,,,,,,,,,,,8851.0,8444.0,122.5,67938.0,407.0,4.6,
st. john the baptist parish,478.0,483.0,-2268.0,366.0,24.0,-2154.0,-5.0,-2244.0,39955.0,11.6,11.8,-55.3,0.6,-0.1,-54.7,95.0,,,,,,,
"st. john the baptist parish, la",,,,,,,,,,,,,,,,,18972.0,18027.0,109.2,60569.0,945.0,5.0,
st. johns county,2449.0,2760.0,13171.0,3981.0,485.0,13821.0,-311.0,13656.0,307072.0,8.2,9.2,43.9,1.6,-1.0,45.5,476.0,,,,,,,
"st. johns county, fl",,,,,,,,,,,,,,,,,148051.0,144464.0,149.7,103757.0,3587.0,2.4,
st. joseph county,3260.0,3190.0,-625.0,12623.0,663.0,-4.0,70.0,38.0,272282.0,12.0,11.7,-2.3,2.4,0.3,0.1,-112.0,,,,,,,
"st. joseph county, in",,,,,,,,,,,,,,,,,132073.0,127495.0,91.4,61028.0,4578.0,3.5,
"st. joseph county, mi",,,,,,,,,,,,,,,,,28503.0,27325.0,90.4,60489.0,1178.0,4.1,
st. landry parish,1186.0,1241.0,-509.0,1216.0,71.0,-512.0,-55.0,-438.0,81679.0,14.5,15.1,-6.2,0.9,-0.7,-5.3,-19.0,,,,,,,
"st. landry parish, la",,,,,,,,,,,,,,,,,31722.0,30315.0,77.1,42765.0,1407.0,4.4,
st. lawrence county,1025.0,1255.0,-621.0,9977.0,131.0,-734.0,-230.0,-490.0,107089.0,9.5,11.7,-5.8,1.2,-2.1,-4.6,-14.0,,,,,,,
"st. lawrence county, ny",,,,,,,,,,,,,,,,,42695.0,40894.0,74.8,59451.0,1801.0,4.2,
st. louis city,3517.0,3493.0,-8494.0,11051.0,908.0,-7429.0,24.0,-7586.0,286193.0,12.1,12.0,-29.3,3.1,0.1,-26.2,133.0,,,,,,,
"st. louis city, mo",,,,,,,,,,,,,,,,,147775.0,143010.0,80.7,52278.0,4765.0,3.2,
st. louis county,1848.0,2467.0,632.0,8843.0,84.0,37.0,-619.0,716.0,199558.0,9.3,12.4,3.2,0.4,-3.1,3.6,-60.0,,,,,,,
"st. louis county, mn",,,,,,,,,,,,,,,,,100065.0,96942.0,76.7,63141.0,3123.0,3.1,
"st. louis county, mo",,,,,,,,,,,,,,,,,522800.0,509543.0,122.9,79609.0,13257.0,2.5,
st. lucie county,3552.0,4475.0,14146.0,2917.0,737.0,14640.0,-923.0,14883.0,358886.0,10.1,12.7,40.2,2.1,-2.6,42.3,680.0,,,,,,,
"st. lucie county, fl",,,,,,,,,,,,,,,,,154276.0,148810.0,92.4,64038.0,5466.0,3.5,
st. martin parish,631.0,632.0,-351.0,272.0,45.0,-313.0,-1.0,-306.0,51249.0,12.3,12.3,-6.8,0.9,0.0,-6.0,-6.0,,,,,,,
"st. martin parish, la",,,,,,,,,,,,,,,,,21928.0,21126.0,97.8,54265.0,802.0,3.7,
st. mary parish,623.0,719.0,-450.0,668.0,138.0,-400.0,-96.0,-312.0,47819.0,13.0,15.0,-9.4,2.9,-2.0,-6.5,8.0,,,,,,,
"st. mary parish, la",,,,,,,,,,,,,,,,,19076.0,18263.0,87.0,48242.0,813.0,4.3,
st. mary's county,1425.0,1063.0,-338.0,2355.0,139.0,133.0,362.0,-199.0,114783.0,12.4,9.3,-2.9,1.2,3.2,-1.7,-30.0,,,,,,,
"st. mary's county, md",,,,,,,,,,,,,,,,,57285.0,55659.0,118.1,112154.0,1626.0,2.8,
st. tammany parish,3062.0,2911.0,2616.0,2496.0,415.0,3090.0,151.0,3031.0,273237.0,11.3,10.7,9.6,1.5,0.6,11.2,-92.0,,,,,,,
"st. tammany parish, la",,,,,,,,,,,,,,,,,118867.0,115374.0,141.8,78629.0,3493.0,2.9,
stafford county,44.0,83.0,5.0,88.0,-1.0,-37.0,-39.0,4.0,3971.0,11.0,20.8,1.3,-0.3,-9.8,1.0,-2.0,,,,,,,
"stafford county, ks",,,,,,,,,,,,,,,,,1921.0,1876.0,84.3,58019.0,45.0,2.3,
"stafford county, va",,,,,,,,,,,,,,,,,75585.0,73485.0,156.6,134456.0,2100.0,2.8,
stanislaus county,7253.0,5252.0,-4404.0,6299.0,931.0,-1497.0,2001.0,-3473.0,551226.0,13.1,9.5,-8.0,1.7,3.6,-6.3,-25.0,,,,,,,
"stanislaus county, ca",,,,,,,,,,,,,,,,,240829.0,227552.0,82.2,75249.0,13277.0,5.5,
stanley county,32.0,32.0,-16.0,0.0,0.0,-18.0,0.0,-16.0,3017.0,10.6,10.6,-5.3,0.0,0.0,-5.3,-2.0,,,,,,,
"stanley county, sd",,,,,,,,,,,,,,,,,1929.0,1894.0,115.9,81788.0,35.0,1.8,
stanly county,707.0,913.0,1273.0,1676.0,34.0,1131.0,-206.0,1307.0,64231.0,11.1,14.3,20.0,0.5,-3.2,20.5,30.0,,,,,,,
"stanly county, nc",,,,,,,,,,,,,,,,,31070.0,30044.0,86.9,58642.0,1026.0,3.3,
stanton county,15.0,19.0,-74.0,26.0,-3.0,-78.0,-4.0,-77.0,1967.0,7.5,9.5,-36.9,-1.5,-2.0,-38.4,3.0,,,,,,,
"stanton county, ks",,,,,,,,,,,,,,,,,1088.0,1067.0,110.6,76137.0,21.0,1.9,
"stanton county, ne",,,,,,,,,,,,,,,,,3567.0,3500.0,107.5,75068.0,67.0,1.9,
stark county,46.0,90.0,72.0,93.0,2.0,29.0,-44.0,74.0,5313.0,8.7,17.0,13.6,0.4,-8.3,14.0,-1.0,,,,,,,
"stark county, il",,,,,,,,,,,,,,,,,2370.0,2249.0,77.2,59234.0,121.0,5.1,
"stark county, nd",,,,,,,,,,,,,,,,,18014.0,17686.0,118.7,86963.0,328.0,1.8,
"stark county, oh",,,,,,,,,,,,,,,,,179690.0,172413.0,98.1,64557.0,7277.0,4.0,
starke county,236.0,384.0,-24.0,100.0,15.0,-170.0,-148.0,-9.0,23203.0,10.1,16.5,-1.0,0.6,-6.4,-0.4,-13.0,,,,,,,
"starke county, in",,,,,,,,,,,,,,,,,9530.0,9164.0,87.7,58523.0,366.0,3.8,
starr county,1084.0,621.0,-696.0,348.0,23.0,-205.0,463.0,-673.0,65653.0,16.5,9.4,-10.6,0.3,7.0,-10.2,5.0,,,,,,,
"starr county, tx",,,,,,,,,,,,,,,,,24752.0,22023.0,49.5,35758.0,2729.0,11.0,
staunton city,362.0,426.0,219.0,1423.0,97.0,251.0,-64.0,316.0,25940.0,14.0,16.5,8.5,3.8,-2.5,12.2,-1.0,,,,,,,
"staunton city, va",,,,,,,,,,,,,,,,,12456.0,12129.0,72.1,61917.0,327.0,2.6,
ste. genevieve county,185.0,247.0,111.0,742.0,1.0,44.0,-62.0,112.0,18613.0,10.0,13.3,6.0,0.1,-3.3,6.0,-6.0,,,,,,,
"ste. genevieve county, mo",,,,,,,,,,,,,,,,,9206.0,8990.0,98.5,63786.0,216.0,2.3,
stearns county,1979.0,1328.0,-284.0,7143.0,736.0,1038.0,651.0,452.0,160242.0,12.4,8.3,-1.8,4.6,4.1,2.8,-65.0,,,,,,,
"stearns county, mn",,,,,,,,,,,,,,,,,89288.0,86975.0,87.9,72378.0,2313.0,2.6,
steele county,437.0,396.0,-60.0,497.0,34.0,2.0,41.0,-26.0,37429.0,11.7,10.6,-1.6,0.9,1.1,-0.7,-13.0,,,,,,,
"steele county, mn",,,,,,,,,,,,,,,,,19175.0,18655.0,91.7,75474.0,520.0,2.7,
"steele county, nd",,,,,,,,,,,,,,,,,946.0,928.0,110.7,81081.0,18.0,1.9,
stephens county,291.0,474.0,170.0,542.0,5.0,-19.0,-183.0,175.0,26746.0,10.9,17.7,6.4,0.2,-6.8,6.5,-11.0,,,,,,,
"stephens county, ga",,,,,,,,,,,,,,,,,10559.0,10169.0,71.5,51980.0,390.0,3.7,
"stephens county, ok",,,,,,,,,,,,,,,,,19363.0,18733.0,92.8,55309.0,630.0,3.3,
"stephens county, tx",,,,,,,,,,,,,,,,,4066.0,3912.0,70.2,50710.0,154.0,3.8,
stephenson county,382.0,663.0,-244.0,719.0,25.0,-506.0,-281.0,-219.0,43556.0,8.7,15.1,-5.6,0.6,-6.4,-5.0,-6.0,,,,,,,
"stephenson county, il",,,,,,,,,,,,,,,,,20630.0,19656.0,79.5,60988.0,974.0,4.7,
sterling county,33.0,16.0,28.0,31.0,0.0,46.0,17.0,28.0,1426.0,23.5,11.4,20.0,0.0,12.1,20.0,1.0,,,,,,,
"sterling county, tx",,,,,,,,,,,,,,,,,524.0,503.0,105.0,75895.0,21.0,4.0,
steuben county,357.0,403.0,115.0,1729.0,18.0,70.0,-46.0,133.0,34772.0,10.3,11.6,3.3,0.5,-1.3,3.8,-17.0,,,,,,,
"steuben county, in",,,,,,,,,,,,,,,,,20697.0,20244.0,109.7,73250.0,453.0,2.2,
"steuben county, ny",,,,,,,,,,,,,,,,,41212.0,39687.0,76.2,60558.0,1525.0,3.7,
stevens county,62.0,54.0,-146.0,75.0,-4.0,-136.0,8.0,-150.0,5166.0,11.8,10.3,-27.9,-0.8,1.5,-28.7,6.0,,,,,,,
"stevens county, ks",,,,,,,,,,,,,,,,,2949.0,2892.0,100.7,69320.0,57.0,1.9,
"stevens county, mn",,,,,,,,,,,,,,,,,5345.0,5233.0,84.0,69171.0,112.0,2.1,
"stevens county, wa",,,,,,,,,,,,,,,,,19061.0,17843.0,72.0,65748.0,1218.0,6.4,
stewart county,33.0,79.0,-407.0,767.0,105.0,-311.0,-46.0,-302.0,4604.0,6.9,16.6,-85.5,22.1,-9.7,-63.5,37.0,,,,,,,
"stewart county, ga",,,,,,,,,,,,,,,,,2592.0,2494.0,56.6,41158.0,98.0,3.8,
"stewart county, tn",,,,,,,,,,,,,,,,,5467.0,5255.0,92.4,60242.0,212.0,3.9,
stillwater county,86.0,133.0,188.0,114.0,-1.0,145.0,-47.0,187.0,9169.0,9.5,14.6,20.7,-0.1,-5.2,20.6,5.0,,,,,,,
"stillwater county, mt",,,,,,,,,,,,,,,,,5401.0,5276.0,119.5,81147.0,125.0,2.3,
stoddard county,330.0,466.0,23.0,439.0,-1.0,-129.0,-136.0,22.0,28390.0,11.6,16.4,0.8,0.0,-4.8,0.8,-15.0,,,,,,,
"stoddard county, mo",,,,,,,,,,,,,,,,,12944.0,12553.0,82.4,53391.0,391.0,3.0,
stokes county,423.0,709.0,796.0,624.0,-6.0,511.0,-286.0,790.0,45136.0,9.4,15.8,17.7,-0.1,-6.4,17.6,7.0,,,,,,,
"stokes county, nc",,,,,,,,,,,,,,,,,21633.0,20902.0,83.3,56259.0,731.0,3.4,
stone county,126.0,244.0,262.0,136.0,-6.0,144.0,-118.0,256.0,12585.0,10.1,19.5,20.9,-0.5,-9.4,20.5,6.0,,,,,,,
"stone county, ar",,,,,,,,,,,,,,,,,4505.0,4322.0,74.0,41063.0,183.0,4.1,
"stone county, mo",,,,,,,,,,,,,,,,,13313.0,12795.0,87.1,56418.0,518.0,3.9,
"stone county, ms",,,,,,,,,,,,,,,,,6897.0,6616.0,102.8,54283.0,281.0,4.1,
stonewall county,10.0,24.0,22.0,58.0,0.0,7.0,-14.0,22.0,1218.0,8.2,19.8,18.1,0.0,-11.5,18.1,-1.0,,,,,,,
"stonewall county, tx",,,,,,,,,,,,,,,,,701.0,680.0,73.5,53153.0,21.0,3.0,
storey county,21.0,50.0,47.0,0.0,0.0,23.0,-29.0,47.0,4165.0,5.1,12.0,11.3,0.0,-7.0,11.3,5.0,,,,,,,
"storey county, nv",,,,,,,,,,,,,,,,,2088.0,2007.0,124.6,90171.0,81.0,3.9,
story county,835.0,663.0,-2444.0,10560.0,691.0,-1422.0,172.0,-1753.0,98257.0,8.4,6.7,-24.7,7.0,1.7,-17.7,159.0,,,,,,,
"story county, ia",,,,,,,,,,,,,,,,,59305.0,58067.0,98.6,68720.0,1238.0,2.1,
strafford county,1173.0,1351.0,972.0,7906.0,243.0,1037.0,-178.0,1215.0,132571.0,8.9,10.2,7.4,1.8,-1.3,9.2,0.0,,,,,,,
"strafford county, nh",,,,,,,,,,,,,,,,,73343.0,71801.0,91.3,82845.0,1542.0,2.1,
stutsman county,204.0,244.0,-84.0,1876.0,29.0,-103.0,-40.0,-55.0,21476.0,9.5,11.3,-3.9,1.3,-1.9,-2.6,-8.0,,,,,,,
"stutsman county, nd",,,,,,,,,,,,,,,,,10614.0,10405.0,89.6,65633.0,209.0,2.0,
sublette county,82.0,78.0,32.0,55.0,-3.0,30.0,4.0,29.0,8752.0,9.4,8.9,3.7,-0.3,0.5,3.3,-3.0,,,,,,,
"sublette county, wy",,,,,,,,,,,,,,,,,3963.0,3807.0,120.2,85649.0,156.0,3.9,
suffolk city,1129.0,1067.0,1857.0,1574.0,120.0,2089.0,62.0,1977.0,98426.0,11.6,11.0,19.1,1.2,0.6,20.3,50.0,,,,,,,
"suffolk city, va",,,,,,,,,,,,,,,,,45674.0,44299.0,95.4,81858.0,1375.0,3.0,
suffolk county,8267.0,5071.0,-18094.0,49918.0,8914.0,-5702.0,3196.0,-9180.0,768812.0,10.7,6.6,-23.4,11.6,4.1,-11.9,282.0,,,,,,,
"suffolk county, ma",,,,,,,,,,,,,,,,,453111.0,437082.0,89.4,84548.0,16029.0,3.5,
"suffolk county, ny",,,,,,,,,,,,,,,,,798630.0,773162.0,150.1,119253.0,25468.0,3.2,
sullivan county,210.0,281.0,-34.0,2213.0,8.0,-106.0,-71.0,-26.0,20671.0,10.1,13.6,-1.6,0.4,-3.4,-1.3,-9.0,,,,,,,
"sullivan county, in",,,,,,,,,,,,,,,,,7931.0,7625.0,83.1,55497.0,306.0,3.9,
"sullivan county, mo",,,,,,,,,,,,,,,,,2501.0,2429.0,80.9,52384.0,72.0,2.9,
"sullivan county, nh",,,,,,,,,,,,,,,,,22675.0,22190.0,82.3,74700.0,485.0,2.1,
"sullivan county, ny",,,,,,,,,,,,,,,,,37348.0,36103.0,80.2,63733.0,1245.0,3.3,
"sullivan county, pa",,,,,,,,,,,,,,,,,2548.0,2422.0,83.5,59957.0,126.0,4.9,
"sullivan county, tn",,,,,,,,,,,,,,,,,68787.0,66360.0,83.3,54361.0,2427.0,3.5,
sully county,12.0,15.0,-1.0,0.0,15.0,11.0,-3.0,14.0,1482.0,8.1,10.2,-0.7,10.2,-2.0,9.5,0.0,,,,,,,
"sully county, sd",,,,,,,,,,,,,,,,,815.0,802.0,107.9,76192.0,13.0,1.6,
summers county,94.0,265.0,16.0,1002.0,-1.0,-163.0,-171.0,15.0,11702.0,8.0,22.5,1.4,-0.1,-14.5,1.3,-7.0,,,,,,,
"summers county, wv",,,,,,,,,,,,,,,,,4582.0,4412.0,75.0,40569.0,170.0,3.7,
summit county,258.0,89.0,-619.0,579.0,82.0,-362.0,169.0,-537.0,30636.0,8.4,2.9,-20.1,2.7,5.5,-17.4,6.0,,,,,,,
"summit county, co",,,,,,,,,,,,,,,,,21528.0,21042.0,108.9,96984.0,486.0,2.3,
"summit county, oh",,,,,,,,,,,,,,,,,265461.0,254663.0,100.4,66034.0,10798.0,4.1,
"summit county, ut",,,,,,,,,,,,,,,,,26085.0,25510.0,149.5,132358.0,575.0,2.2,
sumner county,218.0,334.0,157.0,300.0,-3.0,32.0,-116.0,154.0,22359.0,9.8,14.9,7.0,-0.1,-5.2,6.9,-6.0,,,,,,,
"sumner county, ks",,,,,,,,,,,,,,,,,10742.0,10425.0,91.4,62921.0,317.0,3.0,
"sumner county, tn",,,,,,,,,,,,,,,,,109078.0,106085.0,134.1,87453.0,2993.0,2.7,
sumter county,133.0,165.0,-61.0,952.0,20.0,-78.0,-32.0,-41.0,11889.0,11.2,13.8,-5.1,1.7,-2.7,-3.4,-5.0,,,,,,,
"sumter county, al",,,,,,,,,,,,,,,,,4568.0,4411.0,58.9,35152.0,157.0,3.4,
"sumter county, fl",,,,,,,,,,,,,,,,,37225.0,35663.0,112.4,77851.0,1562.0,4.2,
"sumter county, ga",,,,,,,,,,,,,,,,,12162.0,11645.0,61.4,44677.0,517.0,4.3,
